Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
0.1,50,0.371115409,0.352350317
0.15,50,0.37537361,0.353121593
0.2,50,0.371763013,0.354077618
0.25,50,0.378050936,0.354019275
0.4,50,0.375338589,0.356897735
0.5,50,0.38295849,0.357378185
0.6,50,0.381245555,0.359548972
0.7,50,0.383917611,0.361758045
0.8,50,0.384680883,0.364390672
2,50,0.433650573,0.39339484
3,50,0.471178991,0.420453685
4,50,0.496233161,0.428330227
5,50,0.547122286,0.462645385
9,50,0.696545312,0.600067459
0.05,850,0.659891187,0.384114406
0,50,0.376818797,0.356143298
0.02,50,0.377601493,0.356136251
