Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
3,50,0.427792832,0.295859724
4,50,0.539632873,0.393361151
5,50,0.593218508,0.420031863
9,50,0.805571485,0.593395131
0.2,850,0.732859389,0.20956477
0,50,0.173286084,0.166488741
0.02,50,0.171884419,0.16519369
0.05,50,0.171108736,0.163433542
0.1,50,0.170655633,0.160773383
0.15,50,0.169418899,0.158404362
0.2,50,0.163940825,0.156122139
0.25,50,0.162583253,0.154885078
0.4,50,0.161469218,0.151869549
0.5,50,0.157078895,0.146071958
0.6,50,0.159250451,0.140023776
0.7,50,0.152303803,0.134131666
0.8,50,0.145541552,0.130103971
2,50,0.289180192,0.16475691
3,50,0.372150091,0.292723661
4,50,0.477772586,0.358014761
5,50,0.499347342,0.400547072
9,50,0.732859389,0.519056834
0.3,850,0.632830158,0.218884484
0,50,0.21945035,0.18444766
0.02,50,0.217738801,0.186423111
0.05,50,0.206841489,0.18612844
0.1,50,0.21741148,0.184373297
0.15,50,0.213093833,0.182201925
0.2,50,0.211039893,0.177979713
0.25,50,0.193827152,0.173052281
0.4,50,0.192201517,0.169967705
0.5,50,0.187341164,0.1618127
0.6,50,0.197983467,0.157802928
0.7,50,0.222434527,0.149045977
0.8,50,0.182505033,0.144252734
2,50,0.295189074,0.186821272
3,50,0.349604438,0.294269324
4,50,0.413243084,0.326494693
5,50,0.483160902,0.376886526
9,50,0.632830158,0.479075934
0.4,850,0.591077775,0.235878119
0,50,0.259820521,0.207589724
0.02,50,0.259580125,0.206000349
0.05,50,0.249639465,0.206130955
0.1,50,0.260226905,0.213474381
0.15,50,0.258772241,0.219283579
0.2,50,0.273311628,0.220408379
0.25,50,0.281024323,0.214873928
0.4,50,0.259912064,0.188028054
0.5,50,0.241427612,0.172759793
0.6,50,0.250594829,0.16917638
0.7,50,0.239444976,0.174912684
0.8,50,0.27900493,0.186898961
2,50,0.287057381,0.197247462
3,50,0.377989392,0.292855285
4,50,0.399965109,0.33172675
5,50,0.422493542,0.35959485
9,50,0.591077775,0.448966502
0.5,850,0.564441642,0.267795621
0,50,0.395075922,0.287495585
0.02,50,0.391074365,0.281222177
0.05,50,0.385356206,0.269880614
0.1,50,0.326662777,0.252025079
0.15,50,0.309792541,0.241967409
0.2,50,0.342127669,0.224736249
0.25,50,0.344540683,0.227010653
0.4,50,0.360195856,0.21540811
0.5,50,0.275044173,0.205691826
0.6,50,0.360869842,0.221264141
0.7,50,0.328777416,0.228603271
0.8,50,0.359904048,0.240507254
2,50,0.312379846,0.232319237
3,50,0.371858705,0.302114328
4,50,0.396461555,0.32980241
5,50,0.413385543,0.356164461
9,50,0.564441642,0.436312759
1.5,5950,0.82236812,0.298047447
0,850,0.82236812,0.246596245
0,50,0.207523282,0.181212615
0.02,50,0.207791767,0.180512449
0.05,50,0.207934957,0.179959258
0.1,50,0.208547226,0.180222041
0.15,50,0.211269696,0.180991743
0.2,50,0.216274289,0.182729426
0.25,50,0.218189564,0.182493753
0.4,50,0.244827268,0.174846931
0.5,50,0.245205674,0.166703413
0.6,50,0.239617055,0.155935624
0.7,50,0.231439285,0.150404482
0.8,50,0.245918304,0.14201129
2,50,0.367886048,0.274116208
3,50,0.476630534,0.358347334
4,50,0.550229209,0.445917017
5,50,0.629223355,0.450280784
9,50,0.82236812,0.605451801
0.05,850,0.785879536,0.262580831
0,50,0.229664656,0.202975414
0.02,50,0.231449689,0.202844213
0.05,50,0.235231127,0.202683212
0.1,50,0.240798233,0.202342078
0.15,50,0.238187307,0.202221957
0.2,50,0.241541467,0.203005029
0.25,50,0.243509536,0.203751506
0.4,50,0.25347398,0.199832025
0.5,50,0.253057923,0.192334016
0.6,50,0.258583533,0.181393351
0.7,50,0.247056557,0.170358199
0.8,50,0.249274473,0.161680352
2,50,0.353148609,0.296270331
3,50,0.436886433,0.35822938
4,50,0.521756928,0.42282345
5,50,0.581417145,0.457491681
9,50,0.785879536,0.603637935
0.1,850,0.75280293,0.274276354
0,50,0.24531107,0.222642466
0.02,50,0.246115895,0.222972854
0.05,50,0.25210602,0.225490923
0.1,50,0.257846849,0.223416017
0.15,50,0.253189399,0.224856275
0.2,50,0.265436658,0.22579557
0.25,50,0.267304902,0.225972499
0.4,50,0.25983518,0.22543619
0.5,50,0.259055081,0.220556651
0.6,50,0.264747657,0.207935269
0.7,50,0.266138556,0.195069546
0.8,50,0.261402634,0.180160072
2,50,0.347446775,0.292549671
3,50,0.417949356,0.355787662
4,50,0.477400893,0.404944137
5,50,0.574205319,0.444506916
9,50,0.75280293,0.564605296
0.2,850,0.640122746,0.294641158
0,50,0.303513684,0.256797666
0.02,50,0.315141146,0.255693927
0.05,50,0.311309198,0.259029796
0.1,50,0.292786667,0.26384589
